Employee_Name,EmpID,EmpStatusID,DeptID,PerfScoreID,Salary,Termd,PositionID,Position,Hiring location,Zip,DOB,Sex,MaritalDesc,Citizenship,DateofJoining,DateofTermination,TermReason,EmploymentStatus,Training hours,Trainings,Cost of training ,Department,ManagerName,ManagerID,Recruitment Source,PerformanceScore,EngagementSurvey,Employee rating,LastPerformanceReview_Date,DaysLateLast30,Absences,EmpType,OTHours
"Fidelia,  Libby",10049,1,5,3,58530,0,19,Production Technician I,MA,2155,03-02-1981,Female,Married,US Citizen,01-09-2012,,N/A-StillEmployed,Active,3,python,,Production       ,Brannon Miller,12,Google Search,Fully Meets,5,5,1/29/2019,0,19,Permanent,3
"Fitzpatrick, Michael  J",10093,5,5,3,72609,1,20,Production Technician II,MA,2143,10-01-1981,Male ,Single,US Citizen,5-16-2011,6/24/2013,hours,Voluntarily Terminated,2,python,,Production       ,Amy Dunn,11,Google Search,Fully Meets,4.76,5,04-05-2013,0,20,Permanent,2
"Foreman, Tanya",10163,5,5,3,55965,1,20,Production Technician II,MA,2170,11-08-1983,Female,Married,US Citizen,04-04-2011,01-09-2013,career change,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,3.66,3,01-07-2012,0,6,contractor,1
"Forrest, Alex",10305,1,6,3,70187,1,3,Area Sales Manager,MA,2330,07-07-1975,Male ,Married,US Citizen,9-29-2014,8/19/2018,Fatal attraction,Terminated for Cause,4,customer relationship,2500,Sales,Lynn Daneault,21,Employee Referral,PIP,2,5,1/28/2019,4,7,contractor,3
"Foss, Jason",10015,1,3,4,178000,0,12,IT Director,MA,1460,07-05-1980,Male ,Single,US Citizen,4-15-2011,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Jennifer Zamora,5,Indeed,Exceeds,5,5,01-07-2019,0,15,contractor,2
"Foster-Baker, Amy",10080,1,1,3,99351,0,26,Sr. Accountant,MA,2050,04-02-1979,Female,Married,US Citizen,01-05-2009,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Board of Directors,9,Other,Fully Meets,5,3,02-08-2019,0,3,contractor,2
"Fraval, Maruk ",10258,1,6,3,67251,0,3,Area Sales Manager,CT,6050,08-10-1963,Male ,Single,US Citizen,09-06-2011,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,CareerBuilder,Fully Meets,4.3,3,1/27/2019,2,7,Permanent,3
"Galia, Lisa",10273,1,3,3,65707,0,14,IT Support,CT,6040,07-06-1968,Female,Single,US Citizen,05-01-2010,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Eric Dougall,6,LinkedIn,Fully Meets,4.7,4,02-01-2019,0,1,Permanent,3
"Garcia, Raul",10111,1,5,3,52249,0,19,Production Technician I,MA,1905,09-01-1985,Male ,Single,US Citizen,3-30-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,Employee Referral,Fully Meets,4.5,3,2/18/2019,0,5,Permanent,2
"Gaul, Barbara",10257,1,5,3,53171,0,19,Production Technician I,MA,2121,12-02-1983,Female,Single,US Citizen,5-16-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4.2,4,2/26/2019,0,12,Permanent,1
"Gentry, Mildred",10159,1,5,3,51337,0,19,Production Technician I,MA,2145,10-01-1990,Female,Married,US Citizen,3-30-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,LinkedIn,Fully Meets,3.73,3,1/16/2019,0,19,Permanent,3
"Gerke, Melisa",10122,5,5,3,51505,1,19,Production Technician I,MA,2330,05-01-1970,Female,Divorced,US Citizen,11-07-2011,11/15/2016,hours,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Diversity Job Fair,Fully Meets,4.24,4,4/29/2016,0,2,Permanent,4
"Gill, Whitney  ",10142,4,6,3,59370,1,3,Area Sales Manager,OH,43050,07-10-1971,Female,Widowed,US Citizen,07-07-2014,09-05-2015,attendance,Terminated for Cause,4,customer relationship,2500,Sales,John Smith,17,CareerBuilder,Fully Meets,3.97,4,1/15/2014,0,7,contractor,1
"Gilles, Alex",10283,5,5,2,54933,1,19,Production Technician I,MA,2062,08-09-1974,Male ,Married,US Citizen,04-02-2012,6/25/2015,military,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Webster Butler,39,Diversity Job Fair,Needs Improvement,3.97,4,1/20/2015,3,15,contractor,2
"Girifalco, Evelyn",10018,1,5,4,57815,0,19,Production Technician I,MA,2451,05-08-1980,Female,Single,US Citizen,9-29-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Indeed,Exceeds,3.9,4,02-07-2019,0,3,contractor,3
"Givens, Myriam",10255,1,6,3,61555,0,3,Area Sales Manager,IN,46204,09-02-1989,Female,Single,US Citizen,02-02-2015,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Indeed,Fully Meets,4.5,5,1/25/2019,0,20,Permanent,2
"Goble, Taisha",10246,4,3,3,114800,1,8,Database Administrator,MA,2127,10-10-1971,Female,Single,US Citizen,02-02-2015,3/15/2015,"no-call, no-show",Terminated for Cause,4,cloud computing,3000,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.6,4,1/20/2015,0,10,Permanent,3
"Goeth, Amon",10228,1,3,3,74679,0,14,IT Support,MA,2135,11-03-1989,Male ,Married,US Citizen,3-30-2015,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Peter Monroe,7,LinkedIn,Fully Meets,4.3,5,01-10-2019,0,20,Permanent,3
"Gold, Shenice  ",10243,1,5,3,53018,0,19,Production Technician I,MA,2451,06-07-1992,Female,Single,US Citizen,11-11-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,Indeed,Fully Meets,4.3,5,2/18/2019,0,7,Permanent,2
"Gonzalez, Cayo",10031,1,5,4,59892,0,19,Production Technician I,MA,2108,09-09-1969,Male ,Divorced,US Citizen,07-11-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Diversity Job Fair,Exceeds,4.5,4,2/18/2019,0,1,Permanent,1
"Gonzalez, Juan",10300,5,5,1,68898,1,20,Production Technician II,MA,2128,10-12-1964,Male ,Married,US Citizen,4-26-2010,5/30/2011,career change,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Brannon Miller,12,Diversity Job Fair,PIP,3,3,03-06-2011,3,10,Permanent,3
"Gonzalez, Maria",10101,1,3,3,61242,0,14,IT Support,MA,2472,04-02-1981,Female,Separated,US Citizen,01-05-2015,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.61,4,1/28/2019,0,11,Permanent,4
"Good, Susan",10237,3,5,3,66825,0,20,Production Technician II,MA,1886,05-06-1986,Female,Married,US Citizen,05-12-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,LinkedIn,Fully Meets,4.6,3,02-07-2019,0,20,Permanent,1
"Gordon, David",10051,1,5,3,48285,0,19,Production Technician I,MA,2169,05-01-1979,Male ,Married,US Citizen,07-02-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,LinkedIn,Fully Meets,5,3,1/14/2019,0,2,Permanent,2
"Gosciminski, Phylicia  ",10218,3,5,3,66149,0,20,Production Technician II,MA,1824,12-08-1983,Female,Separated,US Citizen,9-30-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,4.4,5,2/21/2019,0,1,contractor,3
"Goyal, Roxana",10256,3,5,3,49256,0,19,Production Technician I,MA,1864,10-09-1974,Female,Married,US Citizen,8-19-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,LinkedIn,Fully Meets,4.1,5,2/15/2019,0,3,contractor,4
"Gray, Elijiah  ",10098,1,5,3,62957,0,18,Production Manager,MA,1752,07-11-1981,Male ,Divorced,US Citizen,06-02-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Janet King,2,Employee Referral,Fully Meets,4.63,3,01-04-2019,0,2,contractor,2
"Gross, Paula",10059,5,5,3,63813,1,19,Production Technician I,MA,2176,05-01-1983,Female,Divorced,US Citizen,2-21-2011,01-11-2014,more money,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Kelley Spirea,18,CareerBuilder,Fully Meets,5,5,06-03-2013,0,17,Permanent,3
"Gruber, Hans",10234,1,3,3,99020,0,4,BI Developer,MA,2134,06-08-1989,Male ,Married,US Citizen,4-20-2017,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,4.2,5,1/28/2019,0,8,Permanent,3
"Guilianno, Mike",10109,5,6,3,71707,1,3,Area Sales Manager,TN,37129,02-09-1969,Male ,Single,US Citizen,03-07-2012,10/31/2014,relocation out of area,Voluntarily Terminated,4,customer relationship,2500,Sales,John Smith,17,LinkedIn,Fully Meets,4.5,5,02-01-2013,0,20,Permanent,2
"Handschiegl, Joanne",10125,1,5,3,54828,0,19,Production Technician I,MA,2127,03-10-1977,Female,Married,US Citizen,11-28-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,Google Search,Fully Meets,4.2,4,2/22/2019,0,13,Permanent,1
"Hankard, Earnest",10074,1,5,3,64246,0,20,Production Technician II,MA,2155,08-10-1988,Male ,Single,US Citizen,11-11-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,5,3,01-08-2019,0,20,Permanent,3
"Harrington, Christie ",10097,5,5,3,52177,1,19,Production Technician I,MA,2324,08-07-1952,Female,Single,US Citizen,01-09-2012,12/15/2015,retiring,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Webster Butler,39,CareerBuilder,Fully Meets,4.64,4,05-02-2015,0,8,contractor,2
"Harrison, Kara",10007,1,5,4,62065,0,19,Production Technician I,MA,1886,05-02-1974,Female,Married,US Citizen,05-12-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Amy Dunn,11,CareerBuilder,Exceeds,4.76,4,2/15/2019,0,5,contractor,2
"Heitzman, Anthony",10129,1,5,3,46998,0,19,Production Technician I,MA,2149,01-04-1984,Male ,Single,US Citizen,8-13-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,Google Search,Fully Meets,4.17,4,02-11-2019,0,1,contractor,3
"Hendrickson, Trina",10075,5,5,3,68099,1,20,Production Technician II,MA,2021,08-09-1972,Female,Single,US Citizen,01-10-2011,6/18/2013,hours,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Kelley Spirea,18,CareerBuilder,Fully Meets,5,3,1/30/2013,0,15,Permanent,3
"Hitchcock, Alfred",10167,1,6,3,70545,0,3,Area Sales Manager,NH,3062,09-03-1988,Male ,Married,US Citizen,8-18-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Indeed,Fully Meets,3.6,5,1/30/2019,0,9,contractor,2
"Homberger, Adrienne  J",10195,5,5,3,63478,1,20,Production Technician II,MA,2445,02-02-1984,Female,Married,Non-Citizen,08-01-2011,04-07-2012,relocation out of area,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Michael Albert,30,Indeed,Fully Meets,3.03,5,03-05-2012,0,16,Permanent,1
"Horton, Jayne",10112,1,3,3,97999,0,8,Database Administrator,MA,2493,02-01-1984,Female,Single,US Citizen,3-30-2015,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Simon Roup,4,Indeed,Fully Meets,4.48,5,01-03-2019,0,4,Permanent,3
"Houlihan, Debra",10272,1,6,3,180000,0,11,Director of Sales,RI,2908,03-06-1966,Female,Married,US Citizen,05-05-2014,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Janet King,2,LinkedIn,Fully Meets,4.5,4,1/21/2019,0,19,contractor,4
"Howard, Estelle",10182,1,1,3,49920,1,2,Administrative Assistant,MA,2170,09-02-1985,Female,Married,US Citizen,02-02-2015,4/15/2015,"no-call, no-show",Terminated for Cause,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,1,Indeed,Fully Meets,3.24,3,4/15/2015,0,6,contractor,1
"Hudson, Jane",10248,1,5,3,55425,0,19,Production Technician I,MA,2176,06-10-1986,Female,Single,US Citizen,2-20-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,LinkedIn,Fully Meets,4.8,4,01-07-2019,0,4,contractor,2
"Hunts, Julissa",10201,2,5,3,69340,0,20,Production Technician II,MA,2021,03-11-1984,Female,Single,US Citizen,06-06-2016,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,LinkedIn,Fully Meets,3,5,1/18/2019,0,4,contractor,3
"Hutter, Rosalie",10214,2,5,3,64995,0,20,Production Technician II,MA,2351,05-07-1992,Female,Separated,US Citizen,06-05-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,Indeed,Fully Meets,4.5,3,2/14/2019,0,6,Permanent,2
"Huynh, Ming",10160,5,5,3,68182,1,20,Production Technician II,MA,1742,09-02-1976,Female,Divorced,US Citizen,2-21-2011,04-01-2013,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Google Search,Fully Meets,3.72,3,02-01-2013,0,18,Permanent,3
"Immediato, Walter",10289,5,5,2,83082,1,18,Production Manager,MA,2128,11-01-1976,Male ,Married,US Citizen,2-21-2011,9/24/2012,unhappy,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Janet King,2,Indeed,Needs Improvement,2.34,2,04-12-2012,3,4,Permanent,3
"Ivey, Rose ",10139,1,5,3,51908,0,19,Production Technician I,MA,1775,01-10-1991,Female,Single,US Citizen,08-09-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Indeed,Fully Meets,3.99,3,1/14/2019,0,14,Permanent,2
"Jackson, Maryellen",10227,1,5,3,61242,0,19,Production Technician I,MA,2081,09-11-1972,Female,Single,US Citizen,11-05-2012,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,LinkedIn,Fully Meets,4.1,3,1/17/2019,0,7,Permanent,1
"Jacobi, Hannah  ",10236,1,5,3,45069,0,19,Production Technician I,MA,1778,03-02-1966,Female,Divorced,US Citizen,9-30-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,Employee Referral,Fully Meets,4.3,5,2/22/2019,0,7,Permanent,3
"Jeannite, Tayana",10009,1,5,4,60724,0,20,Production Technician II,MA,1821,11-06-1986,Female,Divorced,US Citizen,07-05-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,LinkedIn,Exceeds,4.6,4,2/25/2019,0,11,contractor,4
"Jhaveri, Sneha  ",10060,1,5,3,60436,0,19,Production Technician I,MA,2109,04-12-1964,Female,Separated,US Citizen,01-06-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,5,5,1/21/2019,0,9,contractor,1
"Johnson, George",10034,5,5,4,46837,1,19,Production Technician I,MA,2445,08-09-1959,Male ,Married,US Citizen,11-07-2011,4/29/2018,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Michael Albert,22,CareerBuilder,Exceeds,4.7,4,2/14/2018,0,9,contractor,2
"Johnson, Noelle ",10156,3,3,3,105700,0,8,Database Administrator,MA,2301,11-07-1986,Female,Married,US Citizen,01-05-2015,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Simon Roup,4,Indeed,Fully Meets,3.75,3,02-11-2019,0,2,Permanent,3
"Johnston, Yen",10036,1,5,4,63322,0,20,Production Technician II,MA,2128,09-08-1969,Female,Single,US Citizen,07-07-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,LinkedIn,Exceeds,4.3,3,01-11-2019,0,1,Permanent,4
"Jung, Judy  ",10138,5,5,3,61154,1,19,Production Technician I,MA,2446,04-06-1986,Female,Married,US Citizen,01-10-2011,04-01-2016,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,CareerBuilder,Fully Meets,4,4,02-03-2016,0,4,Permanent,2
"Kampew, Donysha",10244,5,6,3,68999,1,21,Sales Manager,PA,19444,11-11-1989,Female,Single,US Citizen,11-07-2011,4/24/2014,maternity leave - did not return,Voluntarily Terminated,4,customer relationship,2500,Sales,Debra Houlihan,15,Google Search,Fully Meets,4.5,5,3/30/2013,0,2,Permanent,3
"Keatts, Kramer ",10192,1,5,3,50482,0,19,Production Technician I,MA,1887,01-09-1976,Male ,Single,US Citizen,9-30-2013,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Michael Albert,22,Indeed,Fully Meets,3.07,4,1/23/2019,0,10,Permanent,3
"Khemmich, Bartholemew",10231,1,6,3,65310,0,3,Area Sales Manager,CO,80820,11-09-1979,Male ,Single,US Citizen,08-09-2013,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Indeed,Fully Meets,4.3,5,1/22/2019,0,13,Permanent,2
"Kinsella, Kathleen  ",10166,5,5,3,54005,1,19,Production Technician I,MA,2170,12-08-1973,Female,Married,US Citizen,9-26-2011,06-04-2015,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Webster Butler,39,Google Search,Fully Meets,3.6,5,03-01-2015,0,16,Permanent,3
"Kirill, Alexandra  ",10170,5,5,3,45433,1,19,Production Technician I,MA,2127,10-08-1970,Female,Married,US Citizen,9-26-2011,01-09-2014,more money,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Amy Dunn,11,Google Search,Fully Meets,3.49,4,1/30/2013,0,6,Permanent,2
"Knapp, Bradley  J",10208,1,5,3,46654,0,19,Production Technician I,MA,1721,11-10-1977,Male ,Single,US Citizen,2-17-2014,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,LinkedIn,Fully Meets,3.1,3,02-06-2019,0,3,contractor,2
"Kretschmer, John",10176,1,5,3,63973,0,19,Production Technician I,MA,1801,02-02-1980,Male ,Married,US Citizen,01-10-2011,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Brannon Miller,12,Indeed,Fully Meets,3.38,3,1/21/2019,0,17,contractor,3
"Kreuger, Freddy",10165,1,6,3,71339,0,3,Area Sales Manager,NY,10171,02-03-1969,Male ,Single,US Citizen,03-07-2011,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Diversity Job Fair,Fully Meets,3.65,5,1/17/2019,0,20,contractor,3
"Lajiri,  Jyoti",10113,3,3,3,93206,0,28,Sr. Network Engineer,MA,2169,04-10-1986,Male ,Married,US Citizen,11-10-2014,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Peter Monroe,7,Employee Referral,Fully Meets,4.46,5,01-07-2019,0,7,Permanent,2
"Landa, Hans",10092,4,5,3,82758,1,18,Production Manager,MA,1890,07-01-1972,Male ,Married,US Citizen,01-10-2011,12-12-2015,attendance,Terminated for Cause,2,Manufacturing,2500,Production       ,Janet King,2,Employee Referral,Fully Meets,4.78,4,2/15/2015,0,9,Permanent,1
"Langford, Lindsey",10106,5,5,3,66074,1,20,Production Technician II,MA,2090,07-06-1979,Female,Divorced,US Citizen,01-07-2013,3/31/2014,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,David Stanley,14,Indeed,Fully Meets,4.52,3,2/20/2014,0,20,Permanent,3
"Langton, Enrico",10052,1,5,3,46120,0,19,Production Technician I,MA,2048,12-09-1986,Male ,Married,US Citizen,07-09-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,David Stanley,14,LinkedIn,Fully Meets,5,5,02-04-2019,0,13,Permanent,4
"LaRotonda, William  ",10038,1,1,3,64520,0,1,Accountant I,MA,1460,04-12-1984,Male ,Divorced,US Citizen,01-06-2014,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Brandon R. LeBlanc,1,Website,Fully Meets,5,4,1/17/2019,0,3,Permanent,1
"Latif, Mohammed",10249,5,5,3,61962,1,20,Production Technician II,MA,2126,05-09-1984,Male ,Married,US Citizen,04-02-2012,4/15/2013,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,Google Search,Fully Meets,4.9,3,2/20/2013,0,20,contractor,2
"Le, Binh",10232,1,3,3,81584,0,22,Senior BI Developer,MA,1886,06-03-1987,Female,Single,US Citizen,10-02-2016,,N/A-StillEmployed,Active,4,cloud computing,3000,IT/IS,Brian Champaigne,13,Indeed,Fully Meets,4.1,5,01-08-2019,0,2,contractor,3
"Leach, Dallas",10087,5,5,3,63676,1,19,Production Technician I,MA,1810,01-06-1979,Female,Single,US Citizen,09-12-2011,8/19/2018,return to school,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Kissy Sullivan,20,CareerBuilder,Fully Meets,4.88,3,07-02-2017,0,17,contractor,2
"LeBlanc, Brandon  R",10134,1,1,3,93046,0,23,Shared Services Manager,MA,1460,06-10-1984,Male ,Married,US Citizen,01-05-2016,,N/A-StillEmployed,Active,1,CAA,5000,Admin Offices,Janet King,2,CareerBuilder,Fully Meets,4.1,4,1/28/2019,0,20,Permanent,3
"Lecter, Hannibal",10251,1,5,3,64738,0,19,Production Technician I,MA,1776,09-02-1982,Male ,Married,US Citizen,05-03-2012,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Google Search,Fully Meets,4.1,3,2/22/2019,0,10,contractor,3
"Leruth, Giovanni",10103,1,6,3,70468,0,3,Area Sales Manager,UT,84111,12-09-1988,Male ,Separated,US Citizen,4-30-2012,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,John Smith,17,Website,Fully Meets,4.53,3,1/29/2019,0,16,Permanent,2
"Liebig, Ketsia",10017,1,5,4,77915,0,18,Production Manager,MA,2110,10-12-1981,Female,Married,US Citizen,9-30-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Janet King,2,Website,Exceeds,4.1,3,1/21/2019,0,11,Permanent,1
"Linares, Marilyn ",10186,5,5,3,52624,1,19,Production Technician I,MA,1886,03-12-1981,Female,Married,US Citizen,07-05-2011,9/26/2018,unhappy,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Michael Albert,22,Indeed,Fully Meets,3.18,4,03-02-2018,0,16,contractor,3
"Linden, Mathew",10137,3,5,3,63450,0,20,Production Technician II,MA,1770,03-09-1979,Male ,Married,US Citizen,07-08-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kelley Spirea,18,LinkedIn,Fully Meets,4,3,2/18/2019,0,7,contractor,4
"Lindsay, Leonara ",10008,1,3,4,51777,0,14,IT Support,CT,6070,10-05-1988,Female,Single,US Citizen,1-21-2011,,N/A-StillEmployed,Active,4,python ,2000,IT/IS,Eric Dougall,6,Diversity Job Fair,Exceeds,4.64,4,1/25/2019,0,14,contractor,1
"Lundy, Susan",10096,5,5,3,67237,1,20,Production Technician II,MA,2122,12-12-1976,Female,Widowed,US Citizen,07-08-2013,9/15/2016,more money,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Michael Albert,22,LinkedIn,Fully Meets,4.65,4,06-10-2016,0,15,contractor,2
"Lunquist, Lisa",10035,1,5,4,73330,0,20,Production Technician II,MA,2324,03-10-1982,Female,Single,US Citizen,08-09-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Elijiah Gray,16,Indeed,Exceeds,4.2,4,02-12-2019,0,19,Permanent,3
"Lydon, Allison",10057,3,5,3,52057,0,19,Production Technician I,MA,2122,10-02-1975,Female,Married,US Citizen,02-02-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Elijiah Gray,16,Website,Fully Meets,5,3,1/23/2019,0,6,Permanent,4
"Lynch, Lindsay",10004,5,5,4,47434,1,19,Production Technician I,MA,1844,02-03-1973,Female,Single,US Citizen,11-07-2011,11/14/2015,Another position,Voluntarily Terminated,2,Manufacturing,2500,Production       ,Webster Butler,39,Diversity Job Fair,Exceeds,5,4,02-02-2015,0,17,Permanent,2
"MacLennan, Samuel",10191,5,5,3,52788,1,19,Production Technician I,MA,1938,11-09-1972,Male ,Widowed,US Citizen,9-24-2012,9/26/2017,hours,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,Indeed,Fully Meets,3.08,4,04-01-2017,0,18,Permanent,3
"Mahoney, Lauren  ",10219,1,5,3,45395,0,19,Production Technician I,MA,2189,07-07-1986,Female,Single,US Citizen,01-06-2014,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Ketsia Liebig,19,LinkedIn,Fully Meets,4.6,4,2/26/2019,0,14,Permanent,3
"Manchester, Robyn",10077,2,5,3,62385,0,20,Production Technician II,MA,2324,08-06-1976,Female,Married,US Citizen,05-11-2016,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Webster Butler,,LinkedIn,Fully Meets,5,3,1/21/2019,0,4,Permanent,2
"Mancuso, Karen",10073,5,5,3,68407,1,20,Production Technician II,MA,2176,12-10-1986,Female,Married,US Citizen,07-05-2011,8/19/2012,Another position,Voluntarily Terminated,3,Equipment knowledge,1500,Production       ,Amy Dunn,11,LinkedIn,Fully Meets,5,4,07-02-2012,0,16,contractor,1
"Mangal, Debbie",10279,1,5,3,61349,0,19,Production Technician I,MA,2451,11-07-1974,Female,Married,US Citizen,11-11-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Brannon Miller,12,LinkedIn,Fully Meets,4.1,3,1/22/2019,0,11,contractor,3
"Martin, Sandra",10110,1,4,3,105688,0,24,Software Engineer,MA,2135,11-07-1987,Female,Single,US Citizen,11-11-2013,,N/A-StillEmployed,Active,3,Bigdata,2500,Software Engineering,Alex Sweetwater,10,Google Search,Fully Meets,4.5,5,1/14/2019,0,14,contractor,2
"Maurice, Shana",10053,1,5,3,54132,0,19,Production Technician I,MA,2330,11-02-1977,Female,Married,US Citizen,5-31-2011,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,David Stanley,14,Indeed,Fully Meets,5,4,01-10-2019,0,8,Permanent,2
"Carthy, B'rigit",10076,1,5,3,55315,0,20,Production Technician II,MA,2149,05-01-1987,Female,Single,US Citizen,3-30-2015,,N/A-StillEmployed,Active,3,Equipment knowledge,1500,Production       ,Ketsia Liebig,19,LinkedIn,Fully Meets,5,5,02-07-2019,0,16,Permanent,3
"Mckenna, Sandy",10145,1,5,3,62810,0,19,Production Technician I,MA,2184,01-07-1987,Female,Married,US Citizen,01-07-2013,,N/A-StillEmployed,Active,2,Manufacturing,2500,Production       ,Kissy Sullivan,20,CareerBuilder,Fully Meets,3.93,3,1/30/2019,0,20,Permanent,3
"McKinzie, Jac",10202,2,6,3,63291,0,3,Area Sales Manager,TX,78789,07-01-1984,Male ,Married,US Citizen,07-06-2016,,N/A-StillEmployed,Active,4,customer relationship,2500,Sales,Lynn Daneault,21,Website,Fully Meets,3.4,4,1/29/2019,0,7,Permanent,2
